account_id,amount,merchant_category,region_code,device_trust_score,is_fraud_flag
ACC1001,120.50,GROCERY,RGN-01,0.92,0
ACC1002,45.00,GROCERY,RGN-01,0.88,0
ACC1003,899.00,ELECTRONICS,RGN-02,0.75,0
ACC1004,2599.00,ELECTRONICS,RGN-02,0.40,0
ACC1005,15999.00,JEWELRY,RGN-03,0.35,1
ACC1006,8999.00,JEWELRY,RGN-03,0.55,1
ACC1007,220.00,FASHION,RGN-01,0.80,0
ACC1008,340.00,FASHION,RGN-04,0.70,0
ACC1009,60.00,UTILITIES,RGN-01,0.95,0
ACC1010,75.00,UTILITIES,RGN-02,0.90,0
ACC1011,4200.00,TRAVEL,RGN-05,0.65,0
ACC1012,6100.00,TRAVEL,RGN-05,0.42,1
ACC1013,15000.00,CRYPTO_EXCHANGE,RGN-06,0.20,1
ACC1014,22000.00,CRYPTO_EXCHANGE,RGN-06,0.15,1
ACC1015,9800.00,CRYPTO_EXCHANGE,RGN-04,0.25,1
ACC1016,180.00,GAMING,RGN-03,0.60,0
ACC1017,2500.00,GAMING,RGN-03,0.30,1
ACC1018,3100.00,GAMING,RGN-06,0.28,1
ACC1019,95.00,GROCERY,RGN-02,0.91,0
ACC1020,60.50,GROCERY,RGN-03,0.85,0
ACC1021,1299.00,ELECTRONICS,RGN-01,0.72,0
ACC1022,2799.00,ELECTRONICS,RGN-05,0.55,0
ACC1023,12500.00,JEWELRY,RGN-06,0.30,1
ACC1024,7600.00,JEWELRY,RGN-01,0.68,0
ACC1025,410.00,FASHION,RGN-02,0.78,0
ACC1026,290.00,FASHION,RGN-05,0.82,0
ACC1027,50.00,UTILITIES,RGN-03,0.93,0
ACC1028,82.00,UTILITIES,RGN-04,0.89,0
ACC1029,3900.00,TRAVEL,RGN-01,0.60,0
ACC1030,7200.00,TRAVEL,RGN-06,0.38,1
ACC1031,18000.00,CRYPTO_EXCHANGE,RGN-06,0.18,1
ACC1032,25500.00,CRYPTO_EXCHANGE,RGN-03,0.22,1
ACC1033,11200.00,CRYPTO_EXCHANGE,RGN-05,0.45,1
ACC1034,210.00,GAMING,RGN-02,0.65,0
ACC1035,2950.00,GAMING,RGN-04,0.33,1
ACC1036,3400.00,GAMING,RGN-06,0.29,1
ACC1037,110.00,GROCERY,RGN-04,0.90,0
ACC1038,65.00,GROCERY,RGN-05,0.87,0
ACC1039,1650.00,ELECTRONICS,RGN-03,0.70,0
ACC1040,3200.00,ELECTRONICS,RGN-06,0.48,0
ACC1041,16500.00,JEWELRY,RGN-04,0.33,1
ACC1042,9200.00,JEWELRY,RGN-02,0.62,0
ACC1043,380.00,FASHION,RGN-03,0.77,0
ACC1044,260.00,FASHION,RGN-06,0.74,0
ACC1045,55.00,UTILITIES,RGN-05,0.94,0
ACC1046,90.00,UTILITIES,RGN-06,0.86,0
ACC1047,4500.00,TRAVEL,RGN-02,0.58,0
ACC1048,6900.00,TRAVEL,RGN-04,0.40,1
ACC1049,19500.00,CRYPTO_EXCHANGE,RGN-01,0.24,1
ACC1050,21000.00,CRYPTO_EXCHANGE,RGN-02,0.19,1
ACC1051,105.00,GROCERY,RGN-06,0.88,0
ACC1052,72.00,GROCERY,RGN-03,0.91,0
ACC1053,1899.00,ELECTRONICS,RGN-04,0.71,0
ACC1054,2650.00,ELECTRONICS,RGN-01,0.66,0
ACC1055,13500.00,JEWELRY,RGN-05,0.44,1
ACC1056,8100.00,JEWELRY,RGN-06,0.36,1
ACC1057,320.00,FASHION,RGN-04,0.79,0
ACC1058,275.00,FASHION,RGN-01,0.83,0
ACC1059,58.00,UTILITIES,RGN-02,0.92,0
ACC1060,88.00,UTILITIES,RGN-03,0.90,0
ACC1061,4100.00,TRAVEL,RGN-03,0.63,0
ACC1062,7400.00,TRAVEL,RGN-06,0.37,1
ACC1063,17500.00,CRYPTO_EXCHANGE,RGN-05,0.21,1
ACC1064,23500.00,CRYPTO_EXCHANGE,RGN-04,0.17,1
ACC1065,195.00,GAMING,RGN-01,0.68,0
ACC1066,2750.00,GAMING,RGN-05,0.31,1
ACC1067,3300.00,GAMING,RGN-02,0.34,1
ACC1068,98.00,GROCERY,RGN-01,0.89,0
ACC1069,3050.00,GAMING,RGN-06,0.27,1
ACC1070,20500.00,CRYPTO_EXCHANGE,RGN-06,0.16,1
