transaction_id,store_id,product_id,quantity,unit_price,txn_date
T0001,S001,P001,5,14.99,2026-01-05
T0002,S001,P002,2,79.99,2026-01-05
T0003,S002,P003,10,15.00,2026-01-06
T0004,S002,P004,3,64.99,2026-01-06
T0005,S003,P005,4,49.99,2026-01-07
T0006,S003,P006,2,69.99,2026-01-07
T0007,S004,P007,8,14.50,2026-01-08
T0008,S004,P008,3,39.99,2026-01-08
T0009,S005,P009,6,29.99,2026-01-09
T0010,S005,P010,4,34.99,2026-01-09
T0011,S001,P001,12,14.50,2026-01-15
T0012,S001,P006,1,74.99,2026-01-15
T0013,S002,P002,5,84.99,2026-01-16
T0014,S002,P010,7,32.50,2026-01-16
T0015,S003,P004,2,59.99,2026-01-17
T0016,S003,P003,15,16.00,2026-01-17
T0017,S004,P005,3,54.99,2026-01-18
T0018,S004,P009,9,27.99,2026-01-18
T0019,S005,P007,20,13.99,2026-01-19
T0020,S005,P008,6,42.99,2026-01-19
T0021,S001,P002,3,82.50,2026-02-02
T0022,S001,P010,5,33.99,2026-02-02
T0023,S002,P001,25,15.50,2026-02-03
T0024,S002,P006,2,72.50,2026-02-03
T0025,S003,P007,10,14.00,2026-02-04
T0026,S003,P009,4,31.00,2026-02-04
T0027,S004,P003,20,15.50,2026-02-05
T0028,S004,P004,4,61.99,2026-02-05
T0029,S005,P005,6,52.99,2026-02-06
T0030,S005,P008,8,40.50,2026-02-06
T0031,S001,P006,3,71.00,2026-02-20
T0032,S001,P009,10,30.50,2026-02-20
T0033,S002,P004,5,63.50,2026-02-21
T0034,S002,P007,15,13.75,2026-02-21
T0035,S003,P001,30,15.75,2026-02-22
T0036,S003,P010,6,35.50,2026-02-22
T0037,S004,P002,4,81.00,2026-02-23
T0038,S004,P008,5,41.50,2026-02-23
T0039,S005,P003,25,16.25,2026-02-24
T0040,S005,P005,7,55.50,2026-02-24
